firstName,lastName,email,phoneNumber,cin,customer_id,ssn,month,age,annual_income,monthly_inhand_salary,total_emi_per_month,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,credit_mix,outstanding_debt,credit_utilization_ratio,credit_history_age,payment_of_min_amount,amount_invested_monthly,payment_behaviour,monthly_balance,auto_loan,credit_builder_loan,debt_consolidation_loan,home_equity_loan,mortgage_loan,no_loan,not_specified,payday_loan,personal_loan,student_loan,occupation_Accountant,occupation_Architect,occupation_Developer,occupation_Doctor,occupation_Engineer,occupation_Entrepreneur,occupation_Journalist,occupation_Lawyer,occupation_Manager,occupation_Mechanic,occupation_Media_Manager,occupation_Musician,occupation_Scientist,occupation_Teacher,occupation_Writer,credit_score
McBriden,Sarah,sarahmcbriden@gmail.com,674258174,ua024,974410,995-31-1970,5.0,22.0,1244364.0,105207.0,16401408.0,5.0,5.0,7.0,2.0,12.0,9.0,282.0,1.0,0.0,52984.0,40587967.0,357.0,0.0,19789949.0,6.0,93015643.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Standard
Bernabeiq,Stefano,stefanobernabeiq@gmail.com,672266787,ua284,972016,995-31-7607,1.0,37.0,8299824.0,718652.0,383914.0,8.0,7.0,22.0,6.0,26.0,22.0,220.0,12.0,0.0,487941.0,32665123.0,152.0,0.0,41142746.0,2.0,20331052.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Standard
Viswanathaz,Aruna,arunaviswanathaz@gmail.com,693382212,ua340,301062,995-31-9655,4.0,45.0,625383.0,5371525.0,877912.0,2.0,5.0,8.0,3.0,4.0,6.0,88.0,5.0,0.0,13757.0,34553894.0,266.0,0.0,68344574.0,6.0,6210167.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Standard
Brownb,Nick,nickbrownb@gmail.com,630712724,ua322,325751,995-31-7282,3.0,19.0,14585888.0,11878906.0,26240067.0,5.0,4.0,7.0,4.0,0.0,3.0,591.0,0.0,0.0,132193.0,34803707.0,359.0,0.0,100000.0,6.0,94716437.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Standard
Forgionef,Sam,samforgionef@gmail.com,631782268,ua713,577551,995-31-6166,2.0,32.0,5503566.0,4690305.0,673344.0,7.0,8.0,33.0,2.0,57.0,20.0,1973.0,6.0,0.0,227216.0,4007644.0,141.0,0.0,100000.0,5.0,4837434.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Standard
Adlerg,Lynn,lynnadlerg@gmail.com,693710832,ua419,642985,995-31-5387,7.0,14.0,368495.0,30297917.0,17452908.0,8.0,6.0,25.0,9.0,44.0,23.0,388.0,10.0,0.0,232711.0,22668295.0,237.0,0.0,7163859.0,5.0,3068115.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Standard
Buckleys,Chris,chrisbuckleys@gmail.com,625741382,ua022,751348,995-31-1456,5.0,33.0,8142702.0,6877585.0,14415102.0,2.0,2.0,3.0,4.0,-2.0,2.0,235.0,1.0,0.0,1781.0,3331563.0,224.0,0.0,100000.0,3.0,5309669.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Standard
Bullt,Alister,alisterbullt@gmail.com,656606766,ua711,350690,995-31-3601,3.0,50.0,2849751.0,25427925.0,21648624.0,4.0,6.0,4.0,1.0,11.0,8.0,367.0,0.0,0.0,28892.0,2662605.0,243.0,0.0,12910957.0,3.0,37352106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Standard
Kumarq,Rajesh,rajeshkumarq@gmail.com,609607251,ua246,138051,995-31-2615,3.0,26.0,5945829.0,46928574.0,26333036.0,8.0,5.0,13.0,1.0,27.0,20.0,662.0,1.0,0.0,111452.0,36218575.0,229.0,0.0,9716193.0,5.0,5957908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Standard
Kiharaw,Leika,leikakiharaw@gmail.com,631971669,ua599,459302,995-31-7383,3.0,18.0,6791744.0,56117866.0,17041843.0,8.0,7.0,28.0,6.0,58.0,10.0,1474.0,16.0,0.0,221636.0,31828423.0,143.0,0.0,4901781.0,2.0,18058215.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Standard
Herbst-Baylissq,Svea,sveaherbst-baylissq@gmail.com,644414956,ua217,738261,995-31-4614,3.0,34.0,1536278.0,14412317.0,4575495.0,9.0,6.0,26.0,6.0,57.0,23.0,1712.0,7.0,0.0,377356.0,2501726.0,34.0,0.0,1261402.0,1.0,26222803.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Standard
Saphirw,Ann,annsaphirw@gmail.com,630976459,ua191,594918,995-31-8300,8.0,36.0,3387815.0,30311792.0,0.0,4.0,2.0,8.0,0.0,3.0,10.0,64.0,2.0,0.0,119514.0,22875166.0,198.0,0.0,16746701.0,3.0,4056509.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Standard
Murair,Reiji,reijimurair@gmail.com,634725098,ua873,971530,995-31-7026,3.0,31.0,3934072.0,35343933.0,0.0,4.0,2.0,9.0,0.0,4.0,1.0,598.0,0.0,0.0,148222.0,34506428.0,318.0,0.0,13610046.0,2.0,49733887.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Standard
Wohls,Jessica,jessicawohls@gmail.com,676779374,ua272,364959,995-31-6433,3.0,24.0,6826704.0,576892.0,7891799.0,7.0,7.0,32.0,2.0,17.0,15.0,160.0,7.0,0.0,235703.0,3253336.0,130.0,0.0,1439556.0,4.0,61401843.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Standard
Thomassonf,Emma,emmathomassonf@gmail.com,610650537,ua812,345394,995-31-8794,1.0,34.0,1536278.0,14412317.0,4575495.0,9.0,6.0,26.0,6.0,58.0,23.0,1812.0,7.0,0.0,377356.0,22893908.0,32.0,0.0,57678524.0,4.0,3006897.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Standard
McGurtyf,Janet,janetmcgurtyf@gmail.com,623893915,ua809,668486,995-31-2804,3.0,35.0,8941716.0,717043.0,0.0,7.0,4.0,19.0,0.0,22.0,15.0,1497.0,4.0,0.0,33068.0,29138853.0,305.0,0.0,3571755.0,3.0,6298675.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Standard
Bayoumyd,Yara,yarabayoumyd@gmail.com,623015897,ua528,336738,995-31-3656,7.0,27.0,4062494.0,36654116.0,7302343.0,7.0,9.0,21.0,4.0,65.0,16.0,1206.0,14.0,0.0,175056.0,24729664.0,173.0,0.0,22741475.0,4.0,326103.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Standard
Shirouzuz,Norihiko,norihikoshirouzuz@gmail.com,610538259,ua511,786663,995-31-6106,7.0,44.0,5911974.0,4846645.0,31244336.0,10.0,7.0,16.0,7.0,55.0,9.0,702.0,11.0,0.0,150119.0,24548996.0,80.0,0.0,16939192.0,1.0,29282922.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Standard
Chavez-Dreyfussy,Gertrude,gertrudechavez-dreyfussy@gmail.com,657692518,ua847,873111,995-31-5328,6.0,44.0,2880589.0,25074907.0,0.0,2.0,6.0,10.0,0.0,11.0,2.0,1661.0,4.0,0.0,112497.0,30013334.0,218.0,0.0,842334.0,5.0,4165157.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Standard
Dyec,Jessica,jessicadyec@gmail.com,639597270,ua023,281725,995-31-8153,5.0,52.0,7937076.0,684923.0,1154856.0,8.0,3.0,19.0,3.0,16.0,19.0,759.0,3.0,0.0,71518.0,32724617.0,367.0,0.0,37567746.0,3.0,46375995.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Standard
McLaughlind,Tim,timmclaughlind@gmail.com,629342978,ua416,581572,995-31-3989,6.0,23.0,6122433.0,48620273.0,3830981.0,4.0,5.0,12.0,1.0,29.0,6.0,1265.0,5.0,0.0,70743.0,26944206.0,205.0,0.0,10390834.0,6.0,5839846.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Standard
Roumeliotisj,Greg,gregroumeliotisj@gmail.com,679595672,ua958,711721,995-31-3963,5.0,30.0,16568426.0,1550702.0,8474086.0,5.0,3.0,18.0,1.0,14.0,8.0,356.0,4.0,0.0,47811.0,28228891.0,350.0,0.0,39769444.0,5.0,3568267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Standard
das,Pedro,pedrodas@gmail.com,671368603,ua824,311891,995-31-5404,7.0,23.0,3860074.0,34107283.0,14565932.0,6.0,7.0,27.0,7.0,59.0,24.0,647.0,11.0,0.0,446455.0,30626911.0,19.0,0.0,13949565.0,5.0,30591788.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Standard
Hephero,Tim,timhephero@gmail.com,631295710,ua639,407165,995-31-8219,2.0,28.0,2924941.0,2247451.0,6678069.0,8.0,4.0,12.0,3.0,26.0,16.0,1876.0,7.0,0.0,43934.0,3140619.0,137.0,0.0,5665834.0,3.0,37130606.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Standard
Chiefv,Asia,asiachiefv@gmail.com,623335507,ua946,710393,995-31-7039,8.0,44.0,8248992.0,705516.0,19955469.0,9.0,9.0,25.0,3.0,48.0,15.0,1133.0,11.0,0.0,18167.0,38714493.0,129.0,0.0,17611096.0,6.0,57985034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Standard
Laessingu,Ulf,ulflaessingu@gmail.com,606843252,ua370,390642,995-31-4277,4.0,17.0,1916322.0,1346935.0,24175648.0,3.0,7.0,7.0,2.0,18.0,19.0,876.0,5.0,0.0,222637.0,26147799.0,197.0,0.0,35393215.0,5.0,32512463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Standard
Sweeneyo,Pete,petesweeneyo@gmail.com,684803426,ua574,659441,995-31-9118,6.0,20.0,423215.0,33457917.0,0.0,4.0,4.0,9.0,0.0,6.0,2.0,1243.0,6.0,0.0,68861.0,26134007.0,360.0,0.0,16387268.0,3.0,44070648.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Standard
Laurentw,Lionel,lionellaurentw@gmail.com,614152237,ua852,151388,995-31-9508,1.0,34.0,10727571.0,9188643.0,0.0,6.0,7.0,6.0,0.0,15.0,8.0,728.0,1.0,0.0,17476.0,4013863.0,206.0,0.0,17868059.0,4.0,100018365.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Standard
Polanseks,Tom,tompolanseks@gmail.com,699552561,ua018,294652,995-31-1223,8.0,39.0,1920008.0,16780067.0,5441731.0,3.0,3.0,15.0,4.0,8.0,22.0,1949.0,9.0,0.0,146657.0,23174927.0,70.0,0.0,14568645.0,1.0,25769693.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Standard
Mikolajczakt,Chuck,chuckmikolajczakt@gmail.com,641734435,ua175,453603,995-31-5549,7.0,56.0,1215175.0,11876459.0,7249926.0,5.0,3.0,10.0,1.0,17.0,15.0,179.0,2.0,0.0,101103.0,25225973.0,280.0,0.0,7873093.0,3.0,30278372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Standard
Jonese,David,davidjonese@gmail.com,671051414,ua859,339873,995-31-4621,5.0,49.0,2045528.0,14076067.0,46744495.0,4.0,4.0,2.0,4.0,15.0,8.0,692.0,2.0,0.0,42613.0,368418.0,272.0,0.0,16952007.0,1.0,21449611.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Good
Cablem,Jonathan,jonathancablem@gmail.com,660983457,ua228,930495,995-31-8587,6.0,25.0,3311982.0,3024985.0,1114227.0,10.0,5.0,32.0,5.0,50.0,21.0,1679.0,10.0,0.0,25450.0,36081635.0,174.0,0.0,80738304.0,5.0,3603375.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Standard
Raymondk,Nate,nateraymondk@gmail.com,640810338,ua117,579555,995-31-1900,6.0,45.0,3123016.0,25155134.0,28220943.0,6.0,5.0,8.0,2.0,11.0,11.0,216.0,7.0,0.0,75888.0,39012115.0,336.0,0.0,38789566.0,5.0,43454083.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Standard
Stevem,le,lestevem@gmail.com,683225411,ua015,939219,995-31-8997,1.0,25.0,5171196.0,409433.0,2895279.0,7.0,7.0,21.0,8.0,58.0,21.0,895.0,12.0,0.0,266579.0,3300498.0,127.0,0.0,21728046.0,4.0,16262465.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Standard
Freifeldi,Karen,karenfreifeldi@gmail.com,670322792,ua608,716025,995-31-1659,1.0,32.0,5423994.0,4341995.0,27589688.0,9.0,7.0,29.0,7.0,62.0,20.0,2352.0,11.0,0.0,416079.0,3059832.0,88.0,0.0,8731004.0,6.0,31099258.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Good
Manoja,Daniel,danielmanoja@gmail.com,637165110,ua326,171341,995-31-4413,5.0,41.0,7214532.0,582211.0,0.0,1.0,6.0,10.0,0.0,8.0,11.0,314.0,0.0,0.0,128549.0,29310999.0,326.0,0.0,13478621.0,5.0,6974248.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Standard
Burgerc,Ludwig,ludwigburgerc@gmail.com,680699406,ua739,748404,995-31-6541,6.0,49.0,13658205.0,11118837.0,0.0,4.0,6.0,4.0,0.0,25.0,10.0,873.0,2.0,0.0,120356.0,35375923.0,325.0,0.0,9884652.0,2.0,40341843.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Standard
Kreijgerx,Gilbert,gilbertkreijgerx@gmail.com,638254791,ua174,179927,995-31-3161,1.0,45.0,858626.0,7080217.0,0.0,3.0,7.0,13.0,0.0,11.0,17.0,758.0,4.0,0.0,120193.0,35846962.0,199.0,0.0,14472218.0,6.0,8032995.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Standard
Cablew,Jonathan,jonathancablew@gmail.com,687213223,ua261,422891,995-31-1686,8.0,54.0,6988664.0,4873622.0,8573992.0,4.0,6.0,3.0,1.0,10.0,1.0,752.0,2.0,0.0,68301.0,4233936.0,214.0,0.0,15609276.0,5.0,60416113.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Standard
Barretok,Elzio,elziobarretok@gmail.com,644420115,ua733,754721,995-31-4499,4.0,22.0,12816336.0,1064828.0,2817923.0,5.0,7.0,7.0,4.0,14.0,3.0,679.0,5.0,0.0,149456.0,4157272.0,221.0,0.0,7703687.0,6.0,94599884.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Standard
Maloneq,Scott,scottmaloneq@gmail.com,629625653,ua908,738421,995-31-8254,1.0,30.0,7529936.0,6367947.0,0.0,3.0,3.0,9.0,0.0,22.0,4.0,116.0,2.0,0.0,10414.0,3442239.0,359.0,0.0,6272901.0,2.0,28950458.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Standard
Leungh,Joy,joyleungh@gmail.com,683904257,ua822,890926,995-31-2463,4.0,23.0,12585205.0,9197671.0,24408619.0,8.0,6.0,18.0,3.0,21.0,18.0,1533.0,8.0,0.0,12593.0,24806963.0,167.0,0.0,11298938.0,1.0,2445787.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Standard
Strupczewskiv,Jan,janstrupczewskiv@gmail.com,666170542,ua582,941118,995-31-9041,7.0,35.0,1242112.0,10020933.0,29379389.0,7.0,3.0,11.0,4.0,15.0,14.0,495.0,0.0,0.0,68518.0,36339203.0,256.0,0.0,113951416.0,1.0,24687852.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Standard
Shrivastavad,Aditi,aditishrivastavad@gmail.com,648826518,ua165,631267,995-31-7285,2.0,24.0,862558.0,74279834.0,1045345.0,4.0,6.0,19.0,2.0,23.0,13.0,1353.0,5.0,0.0,87522.0,29008934.0,159.0,0.0,54788196.0,2.0,37038187.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Standard
Slaterp,Steve,steveslaterp@gmail.com,631087586,ua263,708090,995-31-7354,2.0,46.0,7971694.0,6372078.0,5720732.0,0.0,4.0,6.0,1.0,15.0,7.0,863.0,4.0,0.0,124842.0,33479652.0,234.0,0.0,33087857.0,2.0,52912195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Standard
Wheatleyx,Alan,alanwheatleyx@gmail.com,656503467,ua097,895248,995-31-6129,2.0,43.0,417029.0,32492417.0,14563956.0,7.0,8.0,27.0,6.0,42.0,21.0,631.0,8.0,0.0,233429.0,32275814.0,95.0,0.0,51732994.0,5.0,37755164.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Standard
Orans,Olivia,oliviaorans@gmail.com,650579388,ua357,386979,995-31-8225,6.0,33.0,664606.0,54483833.0,27807996.0,8.0,10.0,16.0,6.0,31.0,23.0,215.0,15.0,0.0,468143.0,3604964.0,144.0,0.0,10984374.0,5.0,4069146.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Good
Dorfmank,rad,raddorfmank@gmail.com,645020048,ua316,149236,995-31-8569,8.0,40.0,7847718.0,6412765.0,12331759.0,4.0,5.0,16.0,2.0,6.0,18.0,735.0,1.0,0.0,119791.0,27951075.0,297.0,0.0,15686183.0,6.0,60109705.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Standard
Vishnoio,Abhishek,abhishekvishnoio@gmail.com,620079415,ua797,324310,995-31-8286,1.0,50.0,12338883.0,10405402.0,11430565.0,1.0,4.0,3.0,2.0,12.0,13.0,424.0,0.0,0.0,86962.0,4240385.0,392.0,0.0,16208134.0,6.0,100415326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Standard
Wongk,Fayen,fayenwongk@gmail.com,637900250,ua957,565342,995-31-6733,7.0,37.0,2096739.0,19322825.0,9951026.0,7.0,6.0,28.0,8.0,42.0,22.0,777.0,10.0,0.0,40940.0,3371489.0,61.0,0.0,11886798.0,1.0,26485.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Standard
Dendrinoug,Viktoria,viktoriadendrinoug@gmail.com,628615447,ua490,222259,995-31-1842,5.0,16.0,4776576.0,383048.0,0.0,5.0,3.0,12.0,0.0,29.0,9.0,1397.0,5.0,0.0,144709.0,25838652.0,230.0,0.0,25982538.0,1.0,41322263.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Standard
